"type","username","useraddress","userid","timestamp","roomname","content"
"presence","test","67.172.16.46:58817","wcumORB3-FmMAyEcH71t","2015-10-03 15:14:15","mc_mooc_week100","join"
"text","test","67.172.16.46:58817","wcumORB3-FmMAyEcH71t","2015-10-03 15:14:26","mc_mooc_week100","hello"
"presence","test","67.172.16.46:58817","wcumORB3-FmMAyEcH71t","2015-10-03 15:14:28","mc_mooc_week100","leave"
"presence","testagain","67.172.16.46:58832","dkaE2FGvShc3p32pIUnl","2015-10-03 15:15:40","mc_mooc_week100","join"
"text","testagain","67.172.16.46:58832","dkaE2FGvShc3p32pIUnl","2015-10-03 15:15:47","mc_mooc_week100","hello again"
"presence","testagain","67.172.16.46:58832","dkaE2FGvShc3p32pIUnl","2015-10-03 15:15:58","mc_mooc_week100","leave"
"presence","testagainagain","67.172.16.46:59588","WX27lMc0uyMYV0maJ4D3","2015-10-03 15:24:13","mc_mooc_week100","join"
"text","testagainagain","67.172.16.46:59588","WX27lMc0uyMYV0maJ4D3","2015-10-03 15:24:32","mc_mooc_week100","hi"
"presence","testagainagain","67.172.16.46:59588","WX27lMc0uyMYV0maJ4D3","2015-10-03 15:24:34","mc_mooc_week100","leave"
"presence","tets","67.172.16.46:58893","udwmcj5xN1XRDy3ZLEbL","2015-10-03 15:27:51","mc_mooc_week100","join"
"presence","tets","67.172.16.46:58893","udwmcj5xN1XRDy3ZLEbL","2015-10-03 15:27:55","mc_mooc_week100","leave"
"presence","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:29:07","mc_mooc_week100","join"
"presence","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:29:11","mc_mooc_week100","join"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:29:12","mc_mooc_week100","Welcome, success\
I'm Virtual Erland. Each week we will have a chat activity in which you will have the opportunity to reflect back on what you have learned during the week.  After this week, you will start each week with a question to get you thinking about the content.  After you have worked through the material, you can think back on how your answer to that question will change because of what you learned.  This week, we’ll use this time to get acquainted.\
"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:29:14","mc_mooc_week100","\
In week 1, we started to lay a foundation for the material in this course.  We are just scratching the surface so far.  As we’re working towards getting into more substantive content going forward, it would be great to hear what specific goals you have for what you want to learn in this course.  Can you tell me a little about that?\
        "
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:29:30","mc_mooc_week100","my goals are to learn something from this course"
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:30:29","mc_mooc_week100","goals"
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:30:34","mc_mooc_week100","my goals"
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:33:05","mc_mooc_week100","?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:33:08","mc_mooc_week100","\
In any course, a major challenge it to target the material at a level and with a focus that is just right for the variety of students who come.  Based on your experience so far this week, how would you rate the match between what the course offers and what you wanted and expected from it?\
        "
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:33:18","mc_mooc_week100","i do not know"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:35:08","mc_mooc_week100","Does the content so far match your expectations?  What if anything surprised you?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:37:08","mc_mooc_week100","\
Our goal is to do our best to guide you through this course to get the maximum benefit it has to offer.  It would be helpful to us to hear specifically what your expectations are going forward so we can better offer guidance along the way.  Any comments or feedback for us?\
        "
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:38:19","mc_mooc_week100","no"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:39:08","mc_mooc_week100","What expectations do you have going forward?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:41:08","mc_mooc_week100","\
And now we’re done. Thanks for joining us, have a great day! I will now continue the chat activity again starting from the first prompt for those who missed the initial prompts.\
        "
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:42:38","mc_mooc_week100","ok"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:43:08","mc_mooc_week100",""
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:45:08","mc_mooc_week100","\
In week 1, we started to lay a foundation for the material in this course.  We are just scratching the surface so far.  As we’re working towards getting into more substantive content going forward, it would be great to hear what specific goals you have for what you want to learn in this course.  Can you tell me a little about that?\
        "
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:47:09","mc_mooc_week100","What are the things you had in mind to learn from this course?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:49:09","mc_mooc_week100","\
In any course, a major challenge it to target the material at a level and with a focus that is just right for the variety of students who come.  Based on your experience so far this week, how would you rate the match between what the course offers and what you wanted and expected from it?\
        "
"text","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:50:30","mc_mooc_week100","hi"
"presence","success","67.172.16.46:61074","Pk7feW5cWYvTDXHoLauA","2015-10-03 15:50:49","mc_mooc_week100","leave"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:51:09","mc_mooc_week100","Does the content so far match your expectations?  What if anything surprised you?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:53:09","mc_mooc_week100","\
In week 1, we started to lay a foundation for the material in this course.  We are just scratching the surface so far.  As we’re working towards getting into more substantive content going forward, it would be great to hear what specific goals you have for what you want to learn in this course.  Can you tell me a little about that?\
        "
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:55:11","mc_mooc_week100","What are the things you had in mind to learn from this course?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:57:11","mc_mooc_week100","\
In any course, a major challenge it to target the material at a level and with a focus that is just right for the variety of students who come.  Based on your experience so far this week, how would you rate the match between what the course offers and what you wanted and expected from it?\
        "
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 15:59:11","mc_mooc_week100","Does the content so far match your expectations?  What if anything surprised you?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 16:01:11","mc_mooc_week100","\
Our goal is to do our best to guide you through this course to get the maximum benefit it has to offer.  It would be helpful to us to hear specifically what your expectations are going forward so we can better offer guidance along the way.  Any comments or feedback for us?\
        "
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 16:03:11","mc_mooc_week100","What expectations do you have going forward?"
"text","VirtualRyan","128.2.220.133:49927","GIh8eAN-AckiWAqMLauB","2015-10-03 16:05:11","mc_mooc_week100","\
And now we’re done. Thanks for joining us, have a great day! I will now continue the chat activity again starting from the first prompt for those who missed the initial prompts.\
        "
"presence","VirtualRyan","128.2.220.133:49941","CM3cdQZmWzfHx7DyUJb1","2015-10-03 16:07:31","mc_mooc_week1_test00","join"
"presence","test","67.172.16.46:60885","kpUz5bSWGphwpRwzUJb0","2015-10-03 16:07:43","mc_mooc_week1_test00","join"
"text","VirtualRyan","128.2.220.133:49941","CM3cdQZmWzfHx7DyUJb1","2015-10-03 16:07:44","mc_mooc_week1_test00","Welcome, test\
I'm Virtual Erland. Each week we will have a chat activity in which you will have the opportunity to reflect back on what you have learned during the week.  After this week, you will start each week with a question to get you thinking about the content.  After you have worked through the material, you can think back on how your answer to that question will change because of what you learned.  This week, we’ll use this time to get acquainted.\
"
"text","VirtualRyan","128.2.220.133:49941","CM3cdQZmWzfHx7DyUJb1","2015-10-03 16:07:46","mc_mooc_week1_test00","\
In week 1, we started to lay a foundation for the material in this course.  We are just scratching the surface so far.  As we’re working towards getting into more substantive content going forward, it would be great to hear what specific goals you have for what you want to learn in this course.  Can you tell me a little about that?\
        "
